id,english,japanese,romanji,type,category,format,level
1,dog,犬,inu,n,animal,,N5
2,cat,猫,neko,n,animal,,N3
3,friend,友達,tomodachi,n,,,N3
4,go,行く,iku,v,,godan,N5
5,teacher,先生,sensei,n,job,,N5
6,father,父親,chichioya,n,family,,N4
7,bear,くま,kuma,n,animal,,H
8,apple,りんご,ringo,n,fruit,,H
9,today,今日,kyō,,,,N5
10,movie,映画,eiga,n,,,N4
11,movie theater,映画館,eigakan,n,,,N4
12,watch ,見る,miru,v,,ichidan,N5
13,play,遊ぶ,asobu,v,,godan,N3
14,you,あなた,anata,,,,H
15,I,私,watashi,,,,N5
16,eat,食べる,taberu,v,,ichidan,N5
17,horse,馬,uma,n,animal,,N3
18,large,大きい,ookii,adj,,I,N5
19,write,書く,kaku,v,,godan,N5
20,book,本,hon,n,,,N5
21,park,公園,kōen,n,place,,N3
22,tiger,虎,tora,n,animal,,N1
23,wake up,起きる ,okiru,v,,ichidan,N4
24,juice,ジュース,jūsu,n,,,K
25,pink,ピンク,pinku,adj,color,,K
26,read,読む,yomu,v,,godan,N5
27,honey,蜂蜜 ,hachimitsu,n,food,,N1
28,bread,パン,pan,n,food,,K
29,younger sister,妹,imōto,n,family,,N4
30,mother,母親,hahaoya,n,family,,N4
31,please,ください,kudasai,,,,H
32,green,緑,midori,adj,color,,N2
33,blue,青,ao,adj,color,,N4
34,red,赤,aka,adj,color,,N4
35,yellow,黄色,kiiro,adj,color,,N2
36,white,白,shiro,adj,color,,N5
37,black,黒,kuro,adj,color,,N4
38,grey,灰色,haiiro,adj,color,,N2
39,brown,茶色,chairo,adj,color,,N4
40,orange,オレンジ,orenji,adj,color,,K
41,purple,紫,murasaki,adj,color,,N1
42,wear,着る ,kiru,v,,ichidan,N4
43,quickly,早く,hayaku,adv,,,N4
44,lawyer,弁護士,bengoshi,n,job,,N1
45,hot,熱い,atsui,adj,,,N3
46,cold,寒い,samui,adj,,,N3
47,house/home,家,ie,n,,,N4
48,like,好き,suki,adj,feeling,NA,N5
49,pen,ペン,pen,n,object,,K
50,banana,バナナ,banana,n,fruit,,K
51,grape,グレープ,gurēpu,n,fruit,,K
52,milk,牛乳,gyūnyū,n,food,,N2
53,music,音楽,ongaku,n,,,N4
54,watermelon,スイカ,suika,n,fruit,,K
55,pizza,ピザ,piza,n,food,,K
56,convenience store,コンビニ,konbini,n,place,,K
57,hotel,ホテル,hoteru,n,place,,K
58,chicken,鶏,tori,n,animal,,N1
59,have,持っている,motte iru,v,status,,N4
60,turtle,カメ,kame,n,animal,,K
61,car,車,kuruma,n,transportation,,N5
62,buy,買う,kau,v,,godan,N5
63,sleep,寝る,neru,v,,ichidan,N3
64,tall,高い,takai,adj,,,N5
65,short,短い,mijikai,adj,,,N2
66,Vietnam,ベトナム,betonamu,n,country,,K
67,Japan,日本,nihon,n,country,,N5
68,America,アメリカ,amerika,n,country,,K
